"";"X.X.flag.checked.synonym_names.questionable.accepted_name.accepted_subspecies.Notes";"flag";"checked";"synonym_names";"questionable";"accepted_name";"accepted_subspecies";"Notes"
"594";"594;NA;Lasioglossum wollastoni;NA;NA;NA;Remove;NA;NA";NA;NA;NA;NA;NA;NA;NA
"595";"595;NA;Lasioglossum xantopus;NA;NA;NA;Lasioglossum xanthopus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"596";"596;NA;Lasioglossum xathophus;NA;NA;NA;Lasioglossum xanthopus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"597";"597;NA;Megachile binominata;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"598";"598;NA;Megachile canariensis;NA;NA;NA;Remove;NA;Canary Islands only";NA;NA;NA;NA;NA;NA;NA
"599";"599;NA;Megachile cetuncularis;NA;NA;NA;Megachile centuncularis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"600";"600;NA;Megachile circucimcta;NA;NA;NA;Megachile circumcincta;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"601";"601;NA;Megachile retundata;NA;NA;NA;Megachile rotundata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"602";"602;NA;Megachilini analis;NA;NA;NA;Megachile analis;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"603";"603;NA;Nomioides fallax;NA;NA;NA;Nomioides facilis;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"604";"604;NA;Nomioides minutissima;NA;NA;NA;Nomioides minutissimus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"605";"605;NA;Nomioides variegatus;NA;NA;NA;Ceylalictus variegatus;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"606";"606;NA;Osmia acuticornis;NA;NA;NA;Hoplitis acuticornis;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"607";"607;NA;Osmia canariensis;NA;NA;NA;Remove;NA;There is no Osmia canariensis - possibly Andrena submicans canaria, but I cannot be certain without inspecting material";NA;NA;NA;NA;NA;NA;NA
"608";"608;NA;Osmia cinnabarina;NA;NA;NA;Osmia cinnabarina;NA;Authority Perez 1895";NA;NA;NA;NA;NA;NA;NA
"609";"609;NA;Osmia dimidata;NA;NA;NA;Osmia dimidiata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"610";"610;NA;Osmia latreille;NA;NA;NA;Osmia latreillei;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"611";"611;NA;Osmia latrillei;NA;NA;NA;Osmia latreillei;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"612";"612;NA;Osmia madeirensis;NA;NA;NA;Remove;NA;Madeira only";NA;NA;NA;NA;NA;NA;NA
"613";"613;NA;Osmia perambigua;NA;NA;NA;Remove;NA;Wrong genus, Canary Islands only: Hoplitis perambigua";NA;NA;NA;NA;NA;NA;NA
"614";"614;NA;Osmia uncinata;NA;NA;NA;Osmia uncincata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"615";"615;NA;Osmia xanthomelaena;NA;NA;NA;Osmia xanthomelana;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"616";"616;NA;Osmiini emarginata;NA;NA;NA;Osmia emarginata;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"617";"617;NA;Panurgus brullei;NA;NA;NA;Remove;NA;Typo, check records, P. brullei is restricted to the Canary Islands";NA;NA;NA;NA;NA;NA;NA
"618";"618;NA;Paranthidiellum lituratum;NA;NA;NA;Remove;NA;Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination";NA;NA;NA;NA;NA;NA;NA
"619";"619;NA;Peponapis pruinosa;NA;NA;NA;Remove;NA;North American species! Bizarre record";NA;NA;NA;NA;NA;NA;NA
"620";"620;NA;Pseudoanthidium liturathum;NA;NA;NA;Remove;NA;Delete, Pseudoanthidium lituratum complex records can only be clarified by specimen examination";NA;NA;NA;NA;NA;NA;NA
"621";"621;NA;Reanthidium nigricolle;NA;NA;NA;Remove;NA;Delete";NA;NA;NA;NA;NA;NA;NA
"622";"622;NA;Rhodanthidium septemdentatun;NA;NA;NA;Rhodanthidium septemdentatum;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"623";"623;NA;Rhodanthidium septempunctatum;NA;NA;NA;Remove;NA;Possibly septemdentatum";NA;NA;NA;NA;NA;NA;NA
"624";"624;NA;Sphecodes divisus;NA;NA;NA;Sphecodes crassus;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"625";"625;NA;Sphecodes marginaturs;NA;NA;NA;Sphecodes marginatus;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"626";"626;NA;Sphecodes rufierus;NA;NA;NA;Sphecodes ruficrus;NA;Possibly Sphecodes ruficrus";NA;NA;NA;NA;NA;NA;NA
"627";"627;NA;Stelis murina;NA;NA;NA;Stelis murina;NA;NA";NA;NA;NA;NA;NA;NA;NA
"628";"628;NA;Stelis phaeophtera;NA;NA;NA;Stelis phaeoptera;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"629";"629;NA;Stelis phoenoptera;NA;NA;NA;Stelis phaeoptera;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"630";"630;NA;Stelis puntulatissima;NA;NA;NA;Stelis punctulatissima;NA;Typo";NA;NA;NA;NA;NA;NA;NA
"631";"631;NA;Tetraloniella alticincta;NA;NA;NA;Remove;NA;Complex, cannot be resolved, Iberian revision necessary";NA;NA;NA;NA;NA;NA;NA
"632";"632;NA;Trachusa atlanticum;NA;NA;NA;Trachusa laeviventris;NA;synonym";NA;NA;NA;NA;NA;NA;NA
"633";"633;NA;Trachusa integra;NA;NA;NA;Remove;NA;Not present in Iberia, delete";NA;NA;NA;NA;NA;NA;NA
"634";"634;NA;Trianthidium caturigense;NA;NA;NA;Rhodanthidium caturigense;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"635";"635;NA;Vestitohalictus pollinosus;NA;NA;NA;Halictus pollinosus;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"636";"636;NA;Vestitohalictus vestitus;NA;NA;NA;Halictus vestitus;NA;Wrong genus";NA;NA;NA;NA;NA;NA;NA
"637";"637;NA;Xylocopa fenestrata;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"638";"638;NA;Xylocopa fimbriata;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"639";"639;NA;Xylocopa latipes;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"640";"640;NA;Xylocopa virginica;NA;NA;NA;Remove;NA;Delete, clearly misidentified";NA;NA;NA;NA;NA;NA;NA
"641";NA;"Afranthidium schulthesii";NA;NA;NA;NA;NA;NA
"642";NA;"Andrena agulimima";NA;NA;NA;NA;NA;NA
"643";NA;"Andrena asimilis";NA;NA;NA;NA;NA;NA
"644";NA;"Andrena baemorrhoa";NA;NA;NA;NA;NA;NA
"645";NA;"Andrena boyerella";NA;NA;NA;NA;NA;NA
"646";NA;"Andrena cf. pilipes";NA;NA;NA;NA;NA;NA
"647";NA;"Andrena cyanomicans/ suerinensis";NA;NA;NA;NA;NA;NA
"648";NA;"Andrena ferrugineicrus/ truncatilabris";NA;NA;NA;NA;NA;NA
"649";NA;"Andrena florea fabricius";NA;NA;NA;NA;NA;NA
"650";NA;"Andrena fulica";NA;NA;NA;NA;NA;NA
"651";NA;"Andrena fulvicrus";NA;NA;NA;NA;NA;NA
"652";NA;"Andrena gallica assimilis";NA;NA;NA;NA;NA;NA
"653";NA;"Andrena haemorhoa";NA;NA;NA;NA;NA;NA
"654";NA;"Andrena humlis";NA;NA;NA;NA;NA;NA
"655";NA;"Andrena minitula";NA;NA;NA;NA;NA;NA
"656";NA;"Andrena morfo sp7";NA;NA;NA;NA;NA;NA
"657";NA;"Andrena morfo sp9";NA;NA;NA;NA;NA;NA
"658";NA;"Andrena na";NA;NA;NA;NA;NA;NA
"659";NA;"Andrena obsoleta";NA;NA;NA;NA;NA;NA
"660";NA;"Andrena pauxilla";NA;NA;NA;NA;NA;NA
"661";NA;"Andrena schenki";NA;NA;NA;NA;NA;NA
"662";NA;"Andrena varia";NA;NA;NA;NA;NA;NA
"663";NA;"Anthidium interruptum";NA;NA;NA;NA;NA;NA
"664";NA;"Anthidium laeviventris";NA;NA;NA;NA;NA;NA
"665";NA;"Anthophora balearicus";NA;NA;NA;NA;NA;NA
"666";NA;"Anthophora fluvitarsis";NA;NA;NA;NA;NA;NA
"667";NA;"Anthophora na";NA;NA;NA;NA;NA;NA
"668";NA;"Anthophora pilipes";NA;NA;NA;NA;NA;NA
"669";NA;"Anthophora sp a";NA;NA;NA;NA;NA;NA
"670";NA;"Anthophora sp b";NA;NA;NA;NA;NA;NA
"671";NA;"Apis tessellata";NA;NA;NA;NA;NA;NA
"672";NA;"Biastes emarginatus";NA;NA;NA;NA;NA;NA
"673";NA;"Bombus (throracobombud/ sylvarum)";NA;NA;NA;NA;NA;NA
"674";NA;"Bombus agrorum";NA;NA;NA;NA;NA;NA
"675";NA;"Bombus campestris/rupestris";NA;NA;NA;NA;NA;NA
"676";NA;"Bombus cullumanus/sylvarum";NA;NA;NA;NA;NA;NA
"677";NA;"Bombus dintingundus";NA;NA;NA;NA;NA;NA
"678";NA;"Bombus distinguendus";NA;NA;NA;NA;NA;NA
"679";NA;"Bombus distinguendus/sylvarum";NA;NA;NA;NA;NA;NA
"680";NA;"Bombus hiperboreus";NA;NA;NA;NA;NA;NA
"681";NA;"Bombus hortoru";NA;NA;NA;NA;NA;NA
"682";NA;"Bombus hortorum hortorum x asturiensis";NA;NA;NA;NA;NA;NA
"683";NA;"Bombus hortorum/ruderatus";NA;NA;NA;NA;NA;NA
"684";NA;"Bombus lapidarius decipiens";NA;NA;NA;NA;NA;NA
"685";NA;"Bombus lucorum magnus x lucorum";NA;NA;NA;NA;NA;NA
"686";NA;"Bombus lucorum/soroeensis";NA;NA;NA;NA;NA;NA
"687";NA;"Bombus lucorum/terrestris";NA;NA;NA;NA;NA;NA
"688";NA;"Bombus lucorum/terrestris/soroeensis";NA;NA;NA;NA;NA;NA
"689";NA;"Bombus mesometas";NA;NA;NA;NA;NA;NA
"690";NA;"Bombus muscorum/humilis";NA;NA;NA;NA;NA;NA
"691";NA;"Bombus pascaorum";NA;NA;NA;NA;NA;NA
"692";NA;"Bombus pascuarum";NA;NA;NA;NA;NA;NA
"693";NA;"Bombus pascuorum/distinguendus";NA;NA;NA;NA;NA;NA
"694";NA;"Bombus pascuorum/distinguendus/muscorum";NA;NA;NA;NA;NA;NA
"695";NA;"Bombus pascuorum/humilis";NA;NA;NA;NA;NA;NA
"696";NA;"Bombus pascuorum/muscorum";NA;NA;NA;NA;NA;NA
"697";NA;"Bombus pascuorum/muscorum/humilis";NA;NA;NA;NA;NA;NA
"698";NA;"Bombus ragellus";NA;NA;NA;NA;NA;NA
"699";NA;"Bombus ruderans";NA;NA;NA;NA;NA;NA
"700";NA;"Bombus ruderatus/hortorum";NA;NA;NA;NA;NA;NA
"701";NA;"Bombus sylvestris/psithyrus campestris";NA;NA;NA;NA;NA;NA
"702";NA;"Bombus terrestris lusitanicus";NA;NA;NA;NA;NA;NA
"703";NA;"Bombus terrestris terrestris";NA;NA;NA;NA;NA;NA
"704";NA;"Bombus terrestris/lucorum";NA;NA;NA;NA;NA;NA
"705";NA;"Bombus terrestris/lucorum/soroeensis";NA;NA;NA;NA;NA;NA
"706";NA;"Bombus terrestris/pratorum";NA;NA;NA;NA;NA;NA
"707";NA;"Bombus terrestris/soroeensis";NA;NA;NA;NA;NA;NA
"708";NA;"Bombus terresttris/lucorum";NA;NA;NA;NA;NA;NA
"709";NA;"Bombus terretris";NA;NA;NA;NA;NA;NA
"710";NA;"Bombus terrrestris";NA;NA;NA;NA;NA;NA
"711";NA;"Bombus variabilis";NA;NA;NA;NA;NA;NA
"712";NA;"Bombus vimialis";NA;NA;NA;NA;NA;NA
"713";NA;"Bombus wurfleini pyrenaicus";NA;NA;NA;NA;NA;NA
"714";NA;"Ceratina dentriventris";NA;NA;NA;NA;NA;NA
"715";NA;"Ceratina mocsary";NA;NA;NA;NA;NA;NA
"716";NA;"Coelioxys argentea";NA;NA;NA;NA;NA;NA
"717";NA;"Coelioxys emarginata";NA;NA;NA;NA;NA;NA
"718";NA;"Colletes bederae";NA;NA;NA;NA;NA;NA
"719";NA;"Colletes merceti o dimidiatus";NA;NA;NA;NA;NA;NA
"720";NA;"Colletes nasutus";NA;NA;NA;NA;NA;NA
"721";NA;"Dasypoda plumipes";NA;NA;NA;NA;NA;NA
"722";NA;"Dasypoda vishaga";NA;NA;NA;NA;NA;NA
"723";NA;"Epeolus productus";NA;NA;NA;NA;NA;NA
"724";NA;"Eucera cf. hispaliensis";NA;NA;NA;NA;NA;NA
"725";NA;"Eucera longicornus";NA;NA;NA;NA;NA;NA
"726";NA;"Eucera seminuda";NA;NA;NA;NA;NA;NA
"727";NA;"Halictus cf. smaragdula";NA;NA;NA;NA;NA;NA
"728";NA;"Halictus cf. subaurata";NA;NA;NA;NA;NA;NA
"729";NA;"Halictus cfr. smaragdula";NA;NA;NA;NA;NA;NA
"730";NA;"Halictus laevigatus";NA;NA;NA;NA;NA;NA
"731";NA;"Halictus maculata";NA;NA;NA;NA;NA;NA
"732";NA;"Halictus major";NA;NA;NA;NA;NA;NA
"733";NA;"Halictus nitidus";NA;NA;NA;NA;NA;NA
"734";NA;"Halictus rubiduncus";NA;NA;NA;NA;NA;NA
"735";NA;"Halictus sexnotatum";NA;NA;NA;NA;NA;NA
"736";NA;"Halictus smaragdula";NA;NA;NA;NA;NA;NA
"737";NA;"Heriades rubicula";NA;NA;NA;NA;NA;NA
"738";NA;"Hoplitis adunca contraria";NA;NA;NA;NA;NA;NA
"739";NA;"Hoplitis aounca";NA;NA;NA;NA;NA;NA
"740";NA;"Hoplitis leucomelanea";NA;NA;NA;NA;NA;NA
"741";NA;"Hoplitis serrilabris";NA;NA;NA;NA;NA;NA
"742";NA;"Hylaeus gibus";NA;NA;NA;NA;NA;NA
"743";NA;"Hylaeus lypearis";NA;NA;NA;NA;NA;NA
"744";NA;"Lasioglossum algericollelum";NA;NA;NA;NA;NA;NA
"745";NA;"Lasioglossum alpigenum";NA;NA;NA;NA;NA;NA
"746";NA;"Lasioglossum callizonius";NA;NA;NA;NA;NA;NA
"747";NA;"Lasioglossum sp. hembra";NA;NA;NA;NA;NA;NA
"748";NA;"Lasioglossum transitorium planulum";NA;NA;NA;NA;NA;NA
"749";NA;"Lasioglossum xanthopum";NA;NA;NA;NA;NA;NA
"750";NA;"Lithurgus cornutus fuscipennis";NA;NA;NA;NA;NA;NA
"751";NA;"Lithurgus crysurus";NA;NA;NA;NA;NA;NA
"752";NA;"Megachile andrenoides";NA;NA;NA;NA;NA;NA
"753";NA;"Megachile burdigalensis";NA;NA;NA;NA;NA;NA
"754";NA;"Megachile centucularis";NA;NA;NA;NA;NA;NA
"755";NA;"Melecta luctousa";NA;NA;NA;NA;NA;NA
"756";NA;"Melecta punctata";NA;NA;NA;NA;NA;NA
"757";NA;"Nomada agrestris";NA;NA;NA;NA;NA;NA
"758";NA;"Nomada cirtana";NA;NA;NA;NA;NA;NA
"759";NA;"Nomada flava";NA;NA;NA;NA;NA;NA
"760";NA;"Nomada godeniana";NA;NA;NA;NA;NA;NA
"761";NA;"Nomada gransassoi";NA;NA;NA;NA;NA;NA
"762";NA;"Nomada obtusifrons";NA;NA;NA;NA;NA;NA
"763";NA;"Nomada pusilla";NA;NA;NA;NA;NA;NA
"764";NA;"Nomada umbrosa";NA;NA;NA;NA;NA;NA
"765";NA;"Nomia diversipes";NA;NA;NA;NA;NA;NA
"766";NA;"Osmia anceyl";NA;NA;NA;NA;NA;NA
"767";NA;"Osmia caerulensis";NA;NA;NA;NA;NA;NA
"768";NA;"Osmia coerulescens";NA;NA;NA;NA;NA;NA
"769";NA;"Osmia latreillei iberoafricana";NA;NA;NA;NA;NA;NA
"770";NA;"Osmia vidua";NA;NA;NA;NA;NA;NA
"771";NA;"Panurgus albopilosus";NA;NA;NA;NA;NA;NA
"772";NA;"Pseudapis albocincta";NA;NA;NA;NA;NA;NA
"773";NA;"Rhodanthidium septemdemtatum";NA;NA;NA;NA;NA;NA
"774";NA;"Sphecodes anatolicus";NA;NA;NA;NA;NA;NA
"775";NA;"Sphecodes fuscipennis";NA;NA;NA;NA;NA;NA
"776";NA;"Sphecodes verticalis";NA;NA;NA;NA;NA;NA
"777";NA;"Tetraloniella pollinosa";NA;NA;NA;NA;NA;NA
"778";NA;"Xylocopa (x.) violacea";NA;NA;NA;NA;NA;NA
"779";NA;"Xylocopa udesiensis";NA;NA;NA;NA;NA;NA
